'bassin';'surface';'volume';'profondeur';'typealiment'
'334';5705;0;1,00;'Eng CAM Ecuador'
'356';5880;0;0,90;'T-280 3/16"'
'A01';0;451;0,60;'Eng CAM Ecuador'
'A02';3700;2195;0,60;'Eng CAM Ecuador'
'A03';4200;2520;0,60;'Eng CAM Ecuador'
'AD1';6000;3875;0,91;'T-320 1/8"'
'AD2';0;2056;0,98;'T-280 3/16"'
'AD3';0;3135;0,75;'T-280 3/16"'
'B01';1765;630;1,00;'Eng CAM Ecuador'
'B02';1233;812;0,70;'Eng CAM Ecuador'
'B03';997;819;0,70;'Eng CAM Ecuador'
'B04';3878;2232;0,75;'Eng CAM Ecuador'
'B05';6800;1904;1,00;'Eng CAM Ecuador'
'B06';0;2007;0,54;'Eng CAM Ecuador'
'B07';6164;1900;1,00;'Eng CAM Ecuador'
'B08';4800;980;1,00;'Eng CAM Ecuador'
'B09';5000;0;1,00;'Eng CAM Ecuador'
'B10';6000;1971;1,00;'Eng CAM Ecuador'
'B11';3840;2109;1,00;'Eng CAM Ecuador'
'B12';0;2000;0,50;'Eng CAM Ecuador'
'B13';0;2160;0,54;'Engorde carpa'
'B14';0;2280;0,60;'Eng CAM Ecuador'
'B15';0;1116;0,62;'T-280 3/16"'
'B16';0;1044;0,58;'Engorde carpa'
'B17';0;480;0,60;'Engorde carpa'
'B19';4700;2352;0,56;'Eng CAM Ecuador'
'B20';6000;1932;0,46;'Eng CAM Ecuador'
'B21';6000;3770;1,00;'T-320 1/8"'
'B22';5800;4350;1,00;'T-280 3/16"'
'B23';5254;3271;1,00;'T-280 3/16"'
'B24';5500;3236;1,00;'T-280 3/16"'
'B25';4800;2106;1,00;'Eng CAM Ecuador'
'B26';3365;1382;1,00;'Eng CAM Ecuador'
'B27';6100;3277;0,64;'Eng CAM Ecuador'
'B28';4400;3748;0,85;'T-320 1/8"'
'B29';3700;3021;0,83;'Eng CAM Ecuador'
'B30';3400;2486;0,74;'Eng CAM Ecuador'
'B31';2600;1455;0,70;'T-380 5/64"'
'B32';4000;3154;0,79;'Eng CAM Ecuador'
'B33';0;2508;0,75;'Engorde carpa'
'B34';5700;1706;1,00;'T-280 3/16"'
'B35';0;1980;0,94;'Engorde carpa'
'B36';5800;2262;1,00;'Eng CAM Ecuador'
'B37';4600;3484;0,90;'T-320 1/8"'
'B38';5200;5212;0,91;'T-380 5/64"'
'B39';5800;3345;1,07;'Eng CAM Ecuador'
'B40';5800;4733;0,70;'Eng CAM Ecuador'
'B41';5500;3138;0,50;'Eng CAM Ecuador'
'B42';5300;3318;0,64;'Eng CAM Ecuador'
'B43';5800;2411;0,40;'Eng CAM Ecuador'
'B44';6278;4771;0,76;'Eng CAM Ecuador'
'B45';4800;2890;0,54;'Eng CAM Ecuador'
'B46';4400;3031;0,66;'Eng CAM Ecuador'
'B47';4960;3925;0,75;'Eng CAM Ecuador'
'B48';4800;3795;0,70;'Eng CAM Ecuador'
'B49';4200;2441;0,59;'Eng CAM Ecuador'
'B50';2478;0;1,00;'Eng CAM Ecuador'
'B51';4600;2715;0,58;'Eng CAM Ecuador'
'B52';6000;3420;0,57;'Eng CAM Ecuador'
'B53';8200;5602;0,63;'Eng CAM Ecuador'
'B54';8500;3873;0,59;'Eng CAM Ecuador'
'B55';0;1134;0,50;'T-280 3/16"'
'B56';2800;1857;1,00;'T-280 3/16"'
'B57';3500;2652;0,62;'Eng CAM Ecuador'
'B58';5800;2980;0,81;'Eng CAM Ecuador'
'B59';3200;1629;1,00;'Eng CAM Ecuador'
'FA';810;0;1,00;'Eng CAM Ecuador'
'J01';0;0;0,00;'T-280 3/16"'
'Lag';7000;0;1,00;'T-320 1/8"'
'M1';600;0;0,00;'Eng CAM Ecuador'
'M2';600;0;0,00;'Eng CAM Ecuador'
'MF';8500;0;1,00;'Eng CAM Ecuador'
'NU';18;0;1,00;'T-450 Polvo'
'SA';7000;0;1,00;'Eng CAM Ecuador'
