'bassin';'daterecambio';'heures';'IDpompe';'d�bitgalmin';'gallons';'rlflag'
'B27';15/2/2010;24,00;'5';302;434880;'L'
'B19';15/2/2010;5,00;'4';185;55500;'R'
'B19';16/2/2010;5,00;'4';185;55500;'R'
'B33';16/2/2010;12,00;'5';302;217440;'R'
'B33';17/2/2010;12,00;'5';302;217440;'R'
'B53';19/2/2010;10,00;'6';476;285600;'R'
'B46';20/2/2010;10,00;'6';476;285600;'R'
'B04';22/2/2010;5,00;'4';185;55500;'R'
'B34';27/2/2010;24,00;'5';302;434880;'L'
'B20';27/2/2010;15,00;'4';185;166500;'L'
'B35';28/2/2010;24,00;'5';302;434880;'L'
'B20';28/2/2010;10,00;'4';185;111000;'L'
'B20';1/3/2010;10,00;'4';185;111000;'L'
'B20';2/3/2010;10,00;'4';185;111000;'L'
'B06';3/3/2010;10,00;'4';185;111000;'R'
'AD1';4/3/2010;10,00;'4';185;111000;'R'
'B13';5/3/2010;10,00;'4';185;111000;'R'
'B36';3/3/2010;10,00;'5';302;181200;'R'
'B31';3/3/2010;6,00;'7';370;133200;'L'
'B16';6/3/2010;10,00;'4';185;111000;'R'
'A03';8/3/2010;5,00;'4';185;55500;'L'
'B15';8/3/2010;5,00;'4';185;55500;'L'
'B15';9/3/2010;10,00;'4';185;111000;'L'
'B15';10/3/2010;7,00;'4';185;77700;'L'
'B20';10/3/2010;3,00;'4';185;33300;'L'
'B27';10/3/2010;7,00;'6';476;199920;'R'
'B37';10/3/2010;12,00;'6';476;342720;'R'
'B20';11/3/2010;10,00;'4';185;111000;'L'
'B36';11/3/2010;20,00;'5';302;362400;'R'
'B53';11/3/2010;19,00;'6';476;542640;'R'
'B54';11/3/2010;6,00;'6';476;171360;'L'
'B28';12/3/2010;22,00;'5';302;398640;'R'
'B54';12/3/2010;7,00;'6';476;199920;'L'
'B33';15/3/2010;8,00;'5';302;144960;'L'
'B36';19/3/2010;12,00;'6';476;342720;'R'
'B46';19/3/2010;6,00;'6';476;171360;'L'
'B54';19/3/2010;9,00;'6';476;257040;'L'
'B33';20/3/2010;19,00;'6';476;542640;'L'
'B13';20/3/2010;10,00;'4';185;111000;'R'
'B14';25/3/2010;10,00;'4';185;111000;'R'
'B36';27/3/2010;7,00;'6';476;199920;'R'
'B31';27/3/2010;5,00;'7';370;111000;'R'
'B36';1/4/2010;12,00;'6';476;342720;'R'
'B31';1/4/2010;10,00;'6';476;285600;'R'
'B05';7/4/2010;10,00;'4';185;111000;'R'
'B20';8/4/2010;10,00;'4';185;111000;'R'
'B27';10/4/2010;8,00;'6';476;228480;'R'
'B54';10/4/2010;10,00;'6';476;285600;'L'
'B03';12/4/2010;10,00;'4';185;111000;'L'
'B03';13/4/2010;6,00;'4';185;66600;'L'
'B39';15/4/2010;18,00;'6';476;514080;'L'
'B02';17/4/2010;10,00;'4';185;111000;'L'
'B02';19/4/2010;10,00;'4';185;111000;'L'
'B11';21/4/2010;10,00;'4';185;111000;'L'
'B11';22/4/2010;10,00;'4';185;111000;'L'
'B11';23/4/2010;10,00;'4';185;111000;'L'
'B13';24/4/2010;8,00;'4';185;88800;'R'
'B20';24/4/2010;12,00;'4';185;133200;'R'
'B44';24/4/2010;16,00;'6';476;456960;'L'
'B46';24/4/2010;8,00;'6';476;228480;'R'
'B13';26/4/2010;8,00;'4';185;88800;'R'
'B20';26/4/2010;12,00;'4';185;133200;'R'
'B39';26/4/2010;23,00;'6';476;656880;'L'
'B01';27/4/2010;5,00;'4';185;55500;'L'
'B06';27/4/2010;5,00;'4';185;55500;'L'
'B32';14/5/2010;25,00;'5';302;453000;'L'
'B19';12/5/2010;10,00;'4';185;111000;'L'
'B19';13/5/2010;10,00;'4';185;111000;'L'
'A02';14/5/2010;10,00;'4';185;111000;'L'
'A02';15/5/2010;10,00;'4';185;111000;'L'
'B16';18/5/2010;10,00;'4';185;111000;'L'
'B04';20/5/2010;6,00;'4';185;66600;'R'
'B04';21/5/2010;10,00;'4';185;111000;'R'
'B12';21/5/2010;5,00;'7';370;111000;'L'
'B25';21/5/2010;4,00;'7';370;88800;'L'
'B25';22/5/2010;10,00;'4';185;111000;'L'
'B25';24/5/2010;10,00;'5';302;181200;'L'
'B14';24/5/2010;7,00;'7';370;155400;'L'
'B31';24/5/2010;5,00;'5';302;90600;'R'
'B33';24/5/2010;5,00;'5';302;90600;'R'
'B16';25/5/2010;5,00;'4';185;55500;'L'
'B25';25/5/2010;5,00;'4';185;55500;'L'
'B31';25/5/2010;4,00;'5';302;72480;'R'
'B33';25/5/2010;2,00;'5';302;36240;'R'
'B26';26/5/2010;10,00;'4';185;111000;'L'
'B12';27/5/2010;6,00;'7';370;133200;'L'
'B14';27/5/2010;10,00;'4';185;111000;'L'
'B12';28/5/2010;6,00;'7';370;133200;'L'
'B14';28/5/2010;10,00;'4';185;111000;'L'
'B25';28/5/2010;12,00;'5';302;217440;'L'
'B26';28/5/2010;12,00;'5';302;217440;'L'
'B25';29/5/2010;22,00;'5';302;398640;'R'
'B12';29/5/2010;10,00;'4';185;111000;'L'
'B12';30/5/2010;10,00;'4';185;111000;'L'
'B12';31/5/2010;10,00;'4';185;111000;'L'
