,Bassin,Cycle
0,B12,16
1,B05,17
2,B45,7
3,AD2,12
4,A01,10
5,B32,10
6,B25,11
7,B16,23
8,B34,9
9,A03,6
10,B43,7
11,B01,28
12,B14,13
13,B56,11
14,B31,15
15,B13,14
16,B55,9
17,B35,14
18,B15,28
19,B17,22
20,B51,14
21,B03,30
22,B19,11
23,A01,11
24,B11,18
25,B20,11
26,B08,22
27,AD1,10
28,B24,11
29,B27,8
30,B21,9
31,B22,10
32,AD3,8
33,B02,30
34,B36,17
35,B26,18
36,B04,17
37,B06,15
38,B10,16
39,B23,9
40,A03,7
41,L01,2
42,B12,17
43,AD2,13
44,B17,23
45,B28,8
46,B03,31
47,B35,15
48,B39,8
49,B15,29
50,B14,14
51,B13,15
52,B24,12
53,B31,16
54,B42,9
55,B01,29
56,B41,10
57,B40,8
58,A01,12
59,B38,8
60,B51,15
61,J13,1
62,B03,32
63,B02,31
64,B25,12
65,B29,14
66,B15,30
67,B30,11
68,B20,12
69,B15,31
70,B04,18
71,B19,12
72,B37,8
73,B44,8
74,B31,17
75,B05,18
76,B54,9
77,B46,7
78,B08,23
79,A02,9
80,B06,16
81,B34,10
82,B07,14
83,AD1,11
84,B26,19
85,A01,13
86,B12,18
87,B21,10
88,B28,9
89,B13,16
90,B14,15
91,B10,17
92,B11,19
93,A03,8
94,A01,14
95,B20,13
96,B27,9
97,B17,24
98,B32,11
99,B39,9
100,B33,9
101,B38,9
102,B19,13
103,B03,33
104,B02,32
105,B01,30
106,B35,16
107,B16,24
108,B15,32
109,A02,10
110,A01,15
111,B37,9
112,B23,10
113,B17,25
114,B36,18
115,B22,11
116,B34,11
117,B41,11
118,B42,10
119,B40,9
120,B21,11
121,B12,19
122,B31,18
123,B03,34
124,B14,16
125,B10,18
126,B30,12
127,B28,10
128,B13,17
129,B44,9
130,B16,25
131,B06,17
132,B29,15
133,B36,19
134,B15,33
135,B19,14
136,B20,14
137,B27,10
138,B05,19
139,B32,12
140,B38,10
141,B37,10
142,B33,10
143,B08,24
144,B24,13
145,B30,13
146,B35,17
147,B14,17
148,AD1,12
149,B07,15
150,B39,10
151,B40,10
152,B23,11
153,A03,9
154,B34,12
155,A02,11
156,B22,12
157,B17,26
158,B04,19
159,B33,11
160,A01,16
161,B11,20
162,B26,20
163,B28,11
164,B08,25
165,B12,20
166,B21,12
167,B07,16
168,B35,18
169,B45,8
170,B10,19
171,B43,8
172,B13,18
173,B42,11
174,B14,18
175,B46,8
176,B38,11
177,B15,34
178,AD1,13
179,B04,20
180,B30,14
181,B24,14
182,B05,20
183,B01,31
184,B02,33
185,B03,35
186,B28,12
187,B53,6
188,B27,11
189,B34,13
190,B20,15
191,B35,19
192,B31,19
193,B15,35
194,A03,11
195,A01,17
196,B33,12
197,B08,26
198,B03,36
199,B39,11
200,B02,34
201,B54,10
202,B11,21
203,B01,32
204,B06,18
205,B16,26
206,A02,12
207,B44,10
208,B32,13
209,B19,15
210,B25,13
211,B14,19
212,B26,21
213,B12,21
214,B01,33
215,B13,19
216,B02,35
217,B43,9
