,Bassin,Cycle,Lots
0,B36,23,1
1,B36,23,2
2,B17,28,1
3,B17,28,2
4,B58,9,1
5,B44,12,2
6,AD2,15,1
7,AD2,15,2
8,B20,17,1
9,B20,17,2
10,B20,17,3
11,A03,13,2
12,B42,13,2
13,B24,3,4
14,B01,26,1
15,B27,7,1
16,B28,7,1
17,B28,7,2
18,B46,6,1
19,B23,8,2
20,B55,8,1
21,B25,10,1
22,B34,8,2
23,B47,6,1
24,AD3,7,1
25,B27,7,2
26,AD3,7,2
27,B38,7,1
28,B11,17,1
29,B27,7,3
30,B33,8,1
31,B20,10,1
32,B43,6,1
33,B05,16,4
34,B19,10,2
35,B56,10,1
36,B35,13,1
37,B21,8,1
38,B21,8,2
39,B47,6,2
40,B20,10,2
41,B36,16,1
42,B22,9,1
43,B17,21,1
44,A01,9,1
45,B17,21,2
46,B28,7,3
47,L01,1,1
48,B22,9,2
49,B21,8,3
50,B32,9,1
51,B12,15,1
52,B36,16,2
53,B24,10,1
54,B53,5,1
55,B30,10,1
56,B53,5,2
57,B31,14,2
58,B46,6,3
59,B52,8,1
60,B52,8,2
61,B39,7,1
62,B39,7,2
63,B03,29,1
64,B49,10,1
65,B49,10,2
66,B40,7,1
67,B08,21,1
68,AD1,9,1
69,B12,15,2
70,B24,10,2
71,B40,7,2
72,B41,9,1
73,B39,7,3
74,B29,13,1
75,B54,8,1
76,B54,8,2
77,B41,9,2
78,B40,7,3
79,B16,22,1
80,B16,22,2
81,B29,13,2
82,A03,5,1
83,A03,5,2
84,B29,13,3
85,B23,8,3
86,B42,8,1
87,B58,7,1
88,B03,29,2
89,B42,8,2
90,B58,7,2
91,B08,21,2
92,B51,13,1
93,B12,15,3
94,B10,15,1
95,B10,15,2
96,B59,11,1
97,B59,11,2
98,B04,16,1
99,B15,27,1
100,B02,29,1
101,B44,7,1
102,B51,13,2
103,B04,16,2
104,A02,8,1
105,B06,14,1
106,B06,14,2
107,B07,13,1
108,B07,13,2
109,A02,8,2
110,B05,17,1
111,B51,13,3
112,B45,7,1
113,B29,13,4
114,B45,7,2
115,B05,17,2
116,AD2,12,1
117,A01,10,1
118,B32,10,1
119,B17,21,3
120,B32,10,2
121,B25,11,1
122,B16,23,1
123,B25,11,2
124,B25,11,3
125,B23,8,4
126,B23,8,5
127,B16,23,2
128,B46,6,4
129,B23,8,6
130,B34,9,1
131,A03,6,1
132,B43,7,1
133,B01,28,1
134,B01,28,2
135,B14,13,1
136,B56,11,1
137,B43,7,2
138,B14,13,2
139,B31,15,1
140,B31,15,2
141,B13,14,1
142,B55,9,1
143,B13,14,2
144,B35,14,1
145,B15,28,1
146,B17,22,1
147,B17,22,2
148,B51,14,1
149,B03,30,1
150,B51,14,2
151,B43,7,3
152,B19,11,1
153,B51,14,3
154,B15,28,2
155,A01,11,1
156,B11,18,1
157,B20,11,1
158,B08,22,1
159,AD1,10,1
160,B24,11,1
161,B27,8,1
162,AD3,8,1
163,B21,9,1
164,B22,10,1
165,B02,30,1
166,B02,30,2
167,B36,17,1
168,B26,18,1
169,B04,17,1
170,B04,17,2
171,B03,30,2
172,B05,17,3
173,B07,13,3
174,B25,11,4
175,B06,15,1
176,A02,8,3
177,B10,16,1
178,B23,9,1
179,A03,7,1
180,B12,17,1
181,B16,23,3
182,AD2,13,1
183,B17,23,1
184,B28,8,1
185,B03,31,1
186,B03,31,2
187,B35,15,1
188,B39,8,1
189,B15,29,1
190,B14,14,1
191,B13,15,1
192,B24,12,1
193,B31,16,1
194,B42,9,1
195,B01,29,1
196,B41,10,1
197,B40,8,1
198,A01,12,1
199,B38,8,1
200,B51,15,1
201,J13,1,1
202,B24,12,2
203,B17,23,2
204,B03,32,1
205,B02,31,1
206,B10,16,2
207,B25,12,1
208,B29,14,1
209,B14,14,2
210,B30,11,1
211,B04,18,1
212,B37,8,1
213,B44,8,1
214,B05,18,1
215,B54,9,1
216,B46,7,1
217,B08,23,1
218,B20,12,1
219,B19,12,1
220,A02,9,1
221,B06,16,1
222,B29,14,2
223,B07,14,1
224,AD1,11,1
225,B34,10,1
226,B26,19,1
227,B34,10,2
228,A02,9,2
229,B06,16,2
230,B12,18,1
231,B21,10,1
232,AD1,11,2
233,B28,9,1
234,B28,9,2
235,B13,16,1
236,B13,16,2
237,B14,15,1
238,B14,15,2
239,B10,17,1
240,B10,17,2
241,B11,19,1
242,B11,19,2
243,A03,8,1
244,A03,8,2
245,B20,13,1
246,B20,13,2
247,B27,9,1
248,B27,9,2
249,B17,24,1
250,B04,18,2
251,B05,18,2
252,B08,23,2
253,B07,14,2
254,B32,11,1
255,B32,11,2
256,B29,14,3
257,B30,11,2
258,B39,9,1
259,B39,9,2
260,B33,9,1
261,B33,9,2
262,B38,9,1
263,B38,9,2
264,B19,13,1
265,B05,18,3
266,B05,18,4
267,B04,18,3
268,B06,16,3
269,B07,14,3
270,B07,14,4
271,B19,13,2
272,B12,18,2
273,B21,10,2
274,B38,9,3
275,B38,9,4
276,B33,9,3
277,B03,33,1
278,B03,33,2
279,B05,18,0
280,B29,14,0
281,B29,14,4
282,B30,11,0
283,B30,11,3
284,B08,23,0
285,B08,23,3
286,B03,33,3
287,B02,32,1
288,B01,30,1
289,B35,16,1
290,B35,16,2
291,B16,24,1
292,B15,32,1
293,A02,10,1
294,B15,32,2
295,A02,10,2
296,A01,15,1
297,B16,24,2
298,B37,9,1
299,B23,10,1
300,B17,25,1
301,B17,25,2
302,B36,18,1
303,B17,25,3
304,B22,11,1
305,B34,11,1
306,B16,24,3
307,B35,16,3
308,B42,10,1
309,B07,14,5
310,A03,8,3
311,B40,9,1
312,B05,18,5
313,B21,11,1
314,B41,11,2
315,B12,19,1
316,B23,10,2
317,B22,11,2
318,B34,11,2
319,B17,25,4
320,B31,18,1
321,B37,9,2
322,B03,34,1
323,A02,10,3
324,B14,16,1
325,B10,18,1
326,B44,9,1
327,B30,12,1
328,B30,12,2
329,B14,16,2
330,B11,19,3
331,B28,10,1
332,B13,17,1
333,B28,10,2
334,B10,18,2
335,B12,19,2
336,B10,18,3
337,B11,19,4
338,B16,25,1
339,B16,25,2
340,B06,17,1
341,B29,15,1
342,B21,11,2
343,B36,19,1
344,B40,9,2
345,A03,8,4
346,B44,9,2
347,B15,33,1
348,B19,14,1
349,B41,11,3
350,B20,14,1
351,B27,10,1
352,B28,10,3
353,B31,18,2
354,B32,12,1
355,B05,19,1
356,B38,10,1
357,B37,10,1
358,B44,9,3
359,B33,10,1
360,B33,10,2
361,B08,24,1
362,B08,24,2
363,B24,13,1
364,B30,13,1
365,B35,17,1
366,B24,13,2
367,B14,17,1
368,B14,17,2
369,B22,11,3
370,B24,13,3
371,AD1,12,1
372,AD1,12,2
373,B28,10,4
374,B07,15,1
375,B07,15,2
376,B07,15,3
377,B39,10,1
378,B40,10,1
379,B23,11,1
380,A03,9,1
381,B34,12,1
382,A02,11,1
383,B13,17,2
384,B31,18,3
385,B42,10,2
386,B41,11,4
387,B06,17,2
388,B29,15,2
389,B19,14,2
390,B36,19,2
391,B22,12,1
392,B32,12,2
393,B17,26,1
394,B04,19,1
395,B33,11,1
396,A01,16,1
397,B20,14,2
398,B11,20,1
399,B33,11,2
400,B11,20,2
401,B26,20,1
402,B05,19,2
403,B28,11,1
404,B28,11,2
405,B26,20,2
406,B08,25,1
407,B08,25,2
408,B12,20,1
409,B21,12,1
410,B12,20,2
411,B21,12,2
412,B07,16,1
413,B07,16,2
414,B35,18,1
415,B35,18,2
416,B45,8,1
417,B45,8,2
418,B10,19,1
419,B43,8,1
420,B13,18,1
421,B13,18,2
422,B42,11,1
423,B42,11,2
424,B14,18,1
425,B10,19,2
426,B42,11,3
427,B46,8,1
428,B38,11,1
429,B44,9,4
430,B15,34,1
431,B15,34,2
432,AD1,13,1
433,AD1,13,2
434,B37,10,2
435,B04,20,1
436,B30,14,1
437,B04,20,2
438,B30,14,2
439,B34,12,2
440,B24,14,1
441,B24,14,2
442,B05,20,1
443,B05,20,2
444,B01,31,1
445,B02,33,1
446,B03,35,1
447,B29,15,3
448,B28,12,1
449,B28,12,2
450,B17,26,2
451,B53,6,1
452,B53,6,2
453,B46,8,2
454,B27,11,1
455,A02,11,2
456,B05,20,3
457,B34,13,1
458,B34,13,2
459,B20,15,1
460,B20,15,2
461,B35,19,1
462,B31,19,1
463,B31,19,2
464,B53,6,3
465,B35,19,2
466,B15,35,1
467,B15,35,2
468,B20,15,3
469,A03,11,1
470,A01,17,1
471,B07,16,3
472,A01,17,2
473,A03,11,2
474,B33,12,1
475,B33,12,2
476,B08,26,1
477,B03,36,1
478,B39,11,1
479,B39,11,2
480,B02,34,1
481,B08,26,2
482,B54,10,1
483,B11,21,1
484,B10,19,3
485,B11,21,2
486,B39,11,3
487,B11,21,3
488,A03,11,3
489,B01,32,1
490,B06,18,1
491,B06,18,2
492,A03,11,4
493,B16,26,1
494,B16,26,2
495,A02,12,1
496,A02,12,2
497,B44,10,1
498,B44,10,2
499,B08,26,3
500,B32,13,1
501,B19,15,1
502,B19,15,2
503,B25,13,1
504,B25,13,2
505,B14,19,1
506,B26,21,1
507,B44,10,3
508,B12,21,1
509,B01,33,1
510,B01,33,2
511,B26,21,2
512,B13,19,1
513,B13,19,2
514,B26,21,3
515,B12,21,2
516,B14,19,2
517,B02,35,1
518,B02,35,2
519,B43,9,1
520,B07,17,1
521,B36,20,1
522,B41,12,1
523,B41,12,2
524,B41,12,3
525,B41,12,4
526,B07,17,2
527,B34,13,3
528,B17,27,1
529,B21,13,1
530,B10,20,1
531,B10,20,2
532,B35,20,1
533,B40,11,1
534,B40,11,2
535,B38,11,2
536,B03,37,1
537,B03,37,2
538,B22,13,1
539,B33,13,1
540,B33,13,2
541,B23,12,1
542,B29,16,1
543,B29,16,2
544,B23,12,2
545,B37,11,1
546,B37,11,2
547,B16,26,3
548,A01,18,1
549,B30,14,3
550,B29,16,3
551,B25,14,1
552,B25,14,2
553,B38,12,1
554,B04,21,1
555,B04,21,2
556,B42,12,1
557,B31,20,1
558,B31,20,2
559,B28,13,1
560,B28,13,2
561,B45,9,2
562,B21,13,2
563,B22,13,2
564,A01,18,2
565,B24,15,1
566,AD1,14,1
567,B05,21,1
568,B27,12,1
569,B57,4,1
570,B34,14,1
571,B52,9,1
572,B51,16,1
573,B47,7,1
574,B01,34,1
575,B26,21,4
576,AD1,14,2
577,B25,14,3
578,B52,9,2
579,B51,16,2
580,A03,12,1
581,B02,36,1
582,B56,12,1
583,B06,19,1
584,B20,16,1
585,B07,18,1
586,B53,6,4
587,B35,20,2
588,B13,20,1
589,B11,22,1
590,B40,12,1
591,B32,13,2
592,A02,12,3
593,B21,13,3
594,B35,21,1
595,B58,8,1
596,B14,19,3
597,B10,20,3
598,B03,37,3
599,B41,13,1
600,B36,21,1
601,B02,37,1
602,B33,14,1
603,B33,14,2
604,AD1,14,3
605,B25,14,4
606,B12,21,3
607,B53,6,5
608,B16,27,1
609,B19,15,3
610,B45,9,1
611,B17,27,2
612,B45,9,3
613,B08,27,1
614,B16,27,2
615,B22,13,3
616,B46,9,1
617,AD3,9,1
618,B58,8,2
619,B30,15,1
620,B58,8,3
621,B54,11,1
622,B39,11,4
623,B08,27,2
624,B31,21,1
625,B26,22,1
626,B54,11,2
627,B01,35,1
628,B02,38,1
629,B26,22,2
630,B29,17,1
631,B07,19,1
632,B39,11,5
633,B29,17,2
634,B53,7,1
635,B53,7,2
636,B34,15,1
637,B44,11,1
638,AD2,14,1
639,B39,11,6
640,B30,15,2
641,B35,22,1
642,B35,22,2
643,B29,17,3
644,B07,19,2
645,B25,15,1
646,B43,10,1
647,B42,12,2
648,B04,22,1
649,B37,12,1
650,B22,14,1
651,B22,14,2
652,B37,12,2
653,B36,22,1
654,B36,22,2
655,B04,22,2
656,B16,28,1
657,B16,28,2
658,A01,19,1
659,B43,10,2
660,B56,13,1
661,B45,10,1
662,B05,21,2
663,B11,22,2
664,B51,16,3
665,B32,13,3
666,B30,16,1
667,B30,16,2
668,B30,16,3
669,B52,10,1
670,B52,10,2
671,B38,13,1
672,B03,39,1
673,B03,39,2
674,B34,16,1
675,B34,16,2
676,B38,13,2
677,B23,13,1
678,B24,16,1
679,B26,23,1
680,B15,36,1
681,B15,36,2
682,B02,39,1
683,B02,39,2
684,B27,13,1
685,B47,7,2
686,B42,13,1
687,B25,15,2
688,B55,10,1
689,B39,12,1
690,B39,12,2
691,B01,36,1
692,B57,5,1
693,B15,36,3
694,B56,13,2
695,B57,5,2
696,B29,18,1
697,B28,14,1
698,B28,14,2
699,B31,22,1
700,B31,22,2
701,AD1,15,1
702,B07,20,1
703,B07,20,2
704,B01,36,2
705,A01,20,1
706,A01,20,2
707,B05,22,1
708,B32,14,1
709,B35,22,3
710,A03,13,1
711,B33,15,1
712,B33,15,2
713,B05,22,2
714,B44,12,1
715,B34,17,1
716,AD3,10,1
717,B19,16,1
718,B19,16,2
719,B19,16,3
720,A02,13,1
721,B03,40,1
722,B01,37,1
723,B01,37,2
724,B06,20,1
725,B06,20,2
726,B51,17,1
727,B02,40,1
728,B02,40,2
729,B03,41,1
730,B03,41,2
731,B51,17,2
732,B35,23,1
733,B35,23,2
734,B15,37,1
735,B10,21,1
736,B13,21,1
737,B21,14,1
738,B21,14,2
739,B40,13,1
740,B25,16,1
741,B15,37,2
742,B07,21,1
743,A01,21,1
744,B30,16,4
745,B11,23,1
746,B12,22,1
747,B14,20,1
748,B25,16,2
749,B21,14,3
750,B43,11,1
751,B43,11,2
752,B08,28,1
753,B53,8,1
754,B53,8,2
755,B54,12,1
756,B31,23,1
757,B31,23,2
758,B46,10,1
759,B04,23,1
760,B54,12,2
761,B33,16,1
762,B33,16,2
763,B13,21,2
764,B22,15,1
765,B11,23,2
766,B12,22,2
767,B22,15,2
768,B03,42,1
769,B07,21,2
770,B08,28,2
771,B10,21,2
772,B40,13,2
773,B47,8,1
774,B47,8,2
775,B36,24,1
776,B37,13,1
777,B23,14,1
778,B37,13,2
779,B34,18,1
780,B34,18,2
781,B30,17,1
782,B37,13,3
783,B30,17,2
784,B28,15,1
785,B28,15,2
786,B06,21,1
787,B06,21,2
788,B04,23,2
789,B38,14,1
790,AD1,16,1
791,B41,14,1
792,B38,14,2
793,B56,14,1
794,B24,17,1
795,B41,14,2
796,B24,17,2
797,B26,24,1
798,A01,22,1
