'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B12';16;'tilapia';10/3/2007;13/7/2007;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;3242,13;3242,00;0,00;0,00;0,00;0,00;
'B05';17;'crevette';2/1/2007;22/12/2007;0;5/1/2007;22/12/2007;11,50;189,00;1375,00;0,00;1375,00;0,36;0,00;0,00;0,00;0,00;3059,00;41924,00;15447,00;26477,00;0,00;3204,00;1752,35;119,48;2,57;0,00;0,00;0,00;0,00;0,00;79,93;49,00;0,00;1,00;2,89;0,00;
'B45';7;'crevette';5/1/2007;18/7/2007;0;9/1/2007;18/7/2007;6,22;1074,00;1020,00;0,00;1020,00;0,55;0,00;0,00;0,00;0,00;2559,00;48274,00;26613,00;21661,00;0,00;5352,00;-88,23;163,73;-47,38;0,00;0,00;0,00;342720,00;0,00;654,17;426,00;0,00;1,00;2,53;0,00;
'AD2';12;'crevette';13/1/2007;9/7/2007;0;19/1/2007;9/7/2007;5,60;72,00;241,00;0,00;241,00;0,67;0,00;0,00;0,00;0,00;771,00;14400,00;9699,00;4701,00;0,00;2098,00;782,74;42,98;4,56;0,00;0,00;0,00;0,00;262740,00;26,00;38,00;0,06;1,00;2,30;0,00;
'A01';10;'crevette';18/1/2007;4/5/2007;0;20/1/2007;4/5/2007;3,40;25,00;167,00;0,00;167,00;0,33;0,00;0,00;0,00;0,00;212,00;4750,00;1590,00;3160,00;0,00;751,00;3021,00;48,97;1,49;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;1,00;3,17;0,00;
'B32';10;'crevette';18/1/2007;3/7/2007;0;20/1/2007;3/7/2007;5,37;230,00;571,00;0,00;571,00;0,38;0,00;0,00;0,00;0,00;1472,00;20334,00;7844,00;12490,00;0,00;3993,00;865,26;106,19;4,31;0,00;0,00;0,00;485520,00;1199520,00;47,00;70,76;0,00;1,00;2,61;0,00;
'B25';11;'crevette';24/1/2007;6/11/2007;0;27/1/2007;6/11/2007;9,27;485,00;958,00;0,00;958,00;0,55;0,00;0,00;0,00;0,00;3405,00;48143,00;26833,00;21310,00;0,00;3760,00;738,62;103,24;7,19;0,00;0,00;0,00;108720,00;117780,00;109,00;123,00;0,02;1,00;2,14;0,00;
'B16';23;'crevette';25/1/2007;29/1/2008;0;27/1/2007;29/1/2008;12,03;186,00;536,00;0,00;536,00;0,49;0,00;0,00;0,00;0,00;2324,00;26237,00;12898,00;13339,00;0,00;1798,00;881,35;44,54;6,64;0,00;0,00;0,00;0,00;632700,00;31,00;742,66;0,00;1,00;2,70;0,00;
'B34';9;'crevette';13/2/2007;28/6/2007;0;23/2/2007;28/6/2007;4,09;247,00;453,00;0,00;453,00;0,04;0,00;0,00;0,00;0,00;489,00;9016,00;440,00;8576,00;0,00;2106,00;1300,27;110,53;2,37;0,00;0,00;0,00;0,00;0,00;37,00;31,00;0,00;1,00;3,14;0,00;
'A03';6;'crevette';25/2/2007;30/6/2007;0;;;;7,46;1325,00;0,00;1325,00;0,27;0,00;0,00;0,00;;2398,00;355086,00;97628,00;257458,00;0,00;4200,00;;;1,82;0,00;0,00;;0,00;0,00;0,00;0,00;0,07;1,00;2,42;0,00;'Eng CAM Ecuador'
