'bassin';'cycle';'lot';'datep�che';'poids';'quantit�lb';'quantit�';'commentaire';'quantit�lbstat';'grpoisson';'esp�ce';'destination'
'B26';0;0;10/8/2011;90,00;0,40;36,00;'1v cn 90lbs 110/v 317.8gr';;1135,00;'CAR';'V'
'B10';20;3;15/8/2011;148,00;18,00;2664,00;'seco';;0,00;;'V'
'B10';0;0;15/8/2011;4,00;1,25;5,00;'B08';;363,20;'CAR';'S'
'B13';20;1;15/8/2011;19,00;18,00;342,00;'20/v';;0,00;;'V'
'B11';22;1;15/8/2011;26,00;18,00;468,00;'1v cn 26lbs';;0,00;;'V'
'B14';19;3;15/8/2011;36,00;18,00;648,00;'1v cn 36lbs 37/v';;0,00;;'V'
'B13';0;0;15/8/2011;4,00;1,00;4,00;;;454,00;'CAR';'V'
'B14';0;0;15/8/2011;64,00;0,59;38,00;;;764,63;'CAR';'V'
'B13';20;1;16/8/2011;120,00;18,00;2160,00;'seco';;0,00;;'V'
'B13';20;1;16/8/2011;2,00;60,00;120,00;'B23';;0,00;;'S'
'B41';13;1;16/8/2011;52,00;18,00;936,00;'1v cn 52lbs 52/v';;0,00;;'V'
'B40';12;1;16/8/2011;52,00;18,00;936,00;'1v cn 52lbs 54/v';;0,00;;'V'
'B40';12;1;16/8/2011;2,00;30,00;60,00;'B42';;0,00;;'S'
'B40';0;0;16/8/2011;4,00;1,50;6,00;'B38';;302,66;'CAR';'S'
'B41';0;0;16/8/2011;7,00;0,57;4,00;;;794,50;'CAR';'V'
'B42';0;0;16/8/2011;150,00;0,30;45,00;'2v cn 160/v 363.2 gr';;1513,33;'CAR';'V'
'B40';12;1;17/8/2011;146,00;18,00;2628,00;'seco';;0,00;;'V'
'B41';13;1;17/8/2011;127,00;18,00;2286,00;'seco';;0,00;;'V'
'B01';37;1;23/9/2011;41,00;286,00;11726,00;'2v cc B13';;0,00;;'S'
'B03';41;2;12/10/2011;137,00;140,00;19180,00;'1.5v cc B12';;0,00;;'S'
'B05';22;2;26/10/2011;5,00;16,00;80,00;'0.25v cn tilapias';;0,00;;'V'
'B06';20;2;23/9/2011;10,00;18,00;180,00;'B04';;0,00;;'S'
'B23';0;0;17/8/2011;165,00;0,26;44,00;'1v cn 165lbs 180/v';;1702,50;'CAR';'V'
'B36';23;1;23/9/2011;273,00;11,00;3003,00;'B21';;41,27;;'A'
'B35';22;2;18/8/2011;360,00;1,50;540,00;'cc';;302,66;;'V'
'B35';22;1;18/8/2011;23,00;18,00;414,00;;;0,00;;'A'
'B35';0;0;18/8/2011;35,00;0,54;19,00;;;836,31;'CAR';'V'
'B35';0;0;18/8/2011;60,00;1,41;85,00;'B36';;320,47;'CAR';'S'
'B35';0;0;18/8/2011;64,00;2,64;169,00;'B39';;171,92;'CAR';'S'
'B36';0;0;;;;0,00;;;0,00;'CAR';
'B43';10;1;18/8/2011;480,00;0,88;423,00;'1v cn 480lbs 1400/v';;515,17;;'A'
'B43';0;0;18/8/2011;480,00;0,88;423,00;'1v cn 480lbs 1400/v 385.9gr 374.5gr';;515,17;'CAR';'V'
'B47';7;1;18/8/2011;203,00;0,35;73,00;'1v cn 203lbs 203/v';;1262,49;;'A'
'B47';7;2;18/8/2011;15,00;0,60;9,00;'1v cn 15lbs 100/v';;756,66;;'A'
'B47';0;0;18/8/2011;15,00;0,60;9,00;'100/v';;756,66;'CAR';'V'
'B15';36;2;19/8/2011;43,00;4,46;192,00;'B19';;101,67;;'A'
'B15';36;3;19/8/2011;14,00;20,00;280,00;'B06';;0,00;;'A'
'B36';23;2;28/10/2011;89,00;0,91;81,00;'1v cn B31';;498,83;;'A'
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B54';0;0;19/8/2011;70,00;3,30;231,00;'B44';;137,57;'CAR';'S'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B54';11;1;19/8/2011;70,00;3,30;231,00;'B44';;137,57;;'A'
'A02';0;0;;;;0,00;;;0,00;'CAR';
'A02';0;0;;;;0,00;;;0,00;'CAR';
