'bassin';'cycle';'lot';'datesemis';'quantit�';'quantit�ml';'quantit�lb';'poids';'commentaire';'grpoisson';'esp�ce'
'B58';9;1;24/8/2011;52,00;0,00;1,73;30,00;'B53';261,92;
'B17';28;1;24/8/2011;100,00;0,00;1,53;65,00;'B25 gde';295,10;
'B17';28;2;24/8/2011;715,00;0,00;13,00;55,00;'B25 chiquitas';34,92;
'B17';28;2;24/8/2011;675,00;0,00;15,00;45,00;'A01';30,26;
'B44';12;2;20/8/2011;207,00;0,00;3,39;61,00;'B54';133,78;
'B19';16;2;24/8/2011;500,00;0,00;1,49;334,00;'B25';303,27;
'A02';13;1;24/8/2011;430,00;0,00;1,49;287,00;'B25';303,01;
'B44';12;2;24/8/2011;160,00;0,00;4,57;35,00;'B47';99,31;
'B44';12;2;24/8/2011;50,00;0,00;10,00;5,00;'B53';45,40;
'AD2';15;2;29/8/2011;100,00;0,00;3,84;26,00;'B07';118,04;
'AD2';15;1;29/8/2011;822,00;0,00;6,32;130,00;'B07';71,80;
'B17';28;2;29/8/2011;408,00;0,00;17,00;24,00;'A01';26,70;
'AD2';0;0;29/8/2011;100,00;0,00;3,84;26,00;'B07';118,04;'CAR'
'B17';0;0;29/8/2011;408,00;0,00;17,00;24,00;'A01';26,70;'CAR'
'B58';9;1;30/8/2011;315,00;0,00;1,21;260,00;'B43';374,73;
'B44';12;2;30/8/2011;288,00;0,00;12,00;24,00;'B43';37,83;
'B44';0;0;30/8/2011;288,00;0,00;12,00;24,00;'B43';37,83;'CAR'
'B58';0;0;30/8/2011;315,00;0,00;1,21;260,00;'B43';374,73;'CAR'
'B19';16;2;31/8/2011;259,00;0,00;1,60;161,00;'B25';282,21;
'B24';16;1;31/8/2011;460,00;0,00;23,00;20,00;'B25';0,00;
'B58';9;1;31/8/2011;100,00;0,00;1,23;81,00;'B43';367,74;
'B44';12;2;31/8/2011;65,00;0,00;13,00;5,00;'B43';34,92;
'B58';9;1;31/8/2011;100,00;0,00;1,66;60,00;'B53';272,40;
'B44';12;2;31/8/2011;84,00;0,00;14,00;6,00;'B53';32,42;
'B19';0;0;31/8/2011;259,00;0,00;1,60;161,00;'B25';282,21;'CAR'
'B58';0;0;31/8/2011;100,00;0,00;1,23;81,00;'B43';367,74;'CAR'
'B44';0;0;31/8/2011;65,00;0,00;13,00;5,00;'B53';34,92;'CAR'
'B58';0;0;31/8/2011;100,00;0,00;1,66;60,00;'B53';272,40;'CAR'
'B44';0;0;31/8/2011;84,00;0,00;14,00;6,00;'B53';32,42;'CAR'
'B58';9;1;1/9/2011;129,00;0,00;1,55;83,00;'B43';292,10;
'B44';12;2;1/9/2011;361,00;0,00;7,84;46,00;'B43';57,85;
'B58';0;0;1/9/2011;129,00;0,00;1,55;83,00;'B43';292,10;'CAR'
'B44';0;0;1/9/2011;361,00;0,00;7,84;46,00;'B43';57,85;'CAR'
'B19';0;0;5/8/2011;10,00;0,00;2,00;5,00;'B15';227,00;'CAR'
'B17';0;0;2/9/2011;795,00;0,00;15,00;53,00;'A01';30,26;'CAR'
'B17';28;2;2/9/2011;795,00;0,00;15,00;53,00;'A01';30,26;
'AD1';0;0;2/9/2011;39,00;0,00;0,48;80,00;'AD1';931,28;'CAR'
'AD1';15;1;2/9/2011;39,00;0,00;0,48;80,00;'B08';931,28;
'B22';14;1;2/9/2011;440,00;0,00;22,00;20,00;'B12';0,00;
'B23';13;1;5/9/2011;260,00;0,00;26,00;10,00;'B12';0,00;
'B45';0;0;5/9/2011;2,00;0,00;0,50;4,00;'B46';908,00;'CAR'
'B45';10;1;5/9/2011;2,00;0,00;0,50;4,00;'B46';908,00;
'B20';17;1;6/9/2011;770,00;0,00;4,72;163,00;'B07';96,10;
'B20';17;2;6/9/2011;100,00;0,00;2,50;40,00;'B07';181,60;
'B20';17;3;6/9/2011;910,00;0,00;10,00;91,00;'Alevines B20';45,40;
'B51';17;2;5/8/2011;248,00;0,00;1,14;216,00;'B53';395,41;
'B07';13;2;2/1/2007;650,00;0,00;26,00;25,00;'B19';0,00;
'B59';0;0;2/1/2007;3,00;0,00;1,00;3,00;'B49';454,00;'CAR'
'B07';13;2;3/1/2007;1470,00;0,00;49,00;30,00;'B19';0,00;
'A02';8;2;3/1/2007;3132,00;0,00;36,00;87,00;'L01';0,00;
'B05';17;1;5/1/2007;22413,00;0,00;241,00;93,00;'A03';0,00;
'B04';0;0;5/1/2007;39,00;0,00;1,00;39,00;'B01';454,00;'CAR'
'B05';0;0;5/1/2007;32,00;0,00;1,00;32,00;'B01';454,00;'CAR'
'B06';0;0;5/1/2007;37,00;0,00;1,00;37,00;'B01';454,00;'CAR'
'B07';0;0;5/1/2007;10,00;0,00;1,00;10,00;'B01';454,00;'CAR'
'B51';13;3;8/1/2007;3424,00;0,00;32,00;107,00;'B53';0,00;
'B54';0;0;8/1/2007;4,00;0,00;1,00;4,00;'B46';454,00;'CAR'
'B54';0;0;8/1/2007;12,00;0,00;1,00;12,00;'B53';454,00;'CAR'
'B45';7;1;9/1/2007;300,00;0,00;30,00;10,00;'B55';0,00;
'B45';7;1;9/1/2007;2052,00;0,00;38,00;54,00;'B53';0,00;
'B45';7;1;10/1/2007;9720,00;0,00;36,00;270,00;'B53';0,00;
'B45';7;1;11/1/2007;300,00;0,00;30,00;10,00;'B55';0,00;
'B29';13;4;11/1/2007;2775,00;0,00;37,00;75,00;'B32';0,00;
'B07';13;2;11/1/2007;87,00;0,00;29,00;3,00;'B20';0,00;
'B29';0;0;11/1/2007;20,00;0,00;1,00;20,00;'B32';454,00;'CAR'
'B07';0;0;11/1/2007;40,00;0,00;1,00;40,00;'B20';454,00;'CAR'
'B45';7;2;13/1/2007;1830,00;0,00;61,00;30,00;'B41';0,00;
'A02';8;2;15/1/2007;135,00;0,00;27,00;5,00;'B25';0,00;
