'bassin';'cycle';'lot';'datestat';'typestat';'quantit�lb';'commentaire';'grpoisson'
'B22';14;1;10/8/2011;'S';28,00;'20/lb todo 28/lb chiq';0,01
'B38';13;1;12/8/2011;'S';23,50;'22.33/lb todo 23.5/lb chiq';0,01
'B24';16;1;10/8/2011;'S';19,00;'19.33/lbs todo 19/lbs chiq';0,02
'B26';23;1;10/8/2011;'S';29,26;'27.33/lbs todo 29.26/lbs chiq';0,01
'B42';13;1;16/8/2011;'S';28,00;'22.33/lb todo 28/lbs chiq';0,01
'B23';13;1;17/8/2011;'S';24,66;'19/lb todo 24.66/lb chiq';0,01
'B43';10;1;18/8/2011;'S';1,17;'385.9 todo 374.55gr chiq';385,90
'B47';7;1;18/8/2011;'S';0,37;'stat';1210,00
'B47';7;2;18/8/2011;'S';1,42;'stat';317,80
'B04';22;1;22/8/2011;'S';24,00;'17/lb todo 24.33/lb chiq';0,01
'B27';13;1;22/8/2011;'S';31,67;'19/lb todo 31.66/lb chiq';0,01
'B52';10;1;23/8/2011;'S';1,53;'295.1gr todo 700lb/v';295,10
'B29';18;1;25/8/2011;'S';1,81;'Stat';249,70
'B52';10;1;25/8/2011;'S';1,42;'stat';317,80
'B52';10;2;25/8/2011;'S';1,24;'stat';363,20
'B45';10;1;25/8/2011;'S';1,10;'stat';408,60
'B22';14;1;26/8/2011;'S';28,00;'18.33/lb todo 28/lb chiq';0,01
'B24';16;1;26/8/2011;'S';28,00;'18.66/lb todo 28/lb chiq';0,01
'A01';20;2;24/8/2011;'S';14,96;'stat pesca';30,27
'B53';7;2;24/8/2011;'S';1,72;'pesca';261,92
'B07';20;2;29/8/2011;'S';6,30;'Stat siembra';71,80
'B56';13;1;30/8/2011;'S';1,10;'stat';408,60
'B56';13;2;30/8/2011;'S';1,24;'stat';363,20
'B57';5;1;30/8/2011;'S';1,10;'stat';408,60
'B57';5;2;30/8/2011;'S';1,42;'stat';317,80
'A02';13;1;30/8/2011;'S';1,24;'20X16lb';363,20
'B06';20;1;30/8/2011;'E';568,00;'Mortalidad 40%';7,99295774647887e-04
'B51';17;1;1/9/2011;'S';1,10;'stat';408,60
'B51';17;2;1/9/2011;'S';1,24;'stat';363,20
'AD1';15;1;1/9/2011;'S';1,10;'stat';408,60
'B46';9;1;5/9/2011;'S';15,00;'15/lb todo';0,03
'B04';22;1;5/9/2011;'S';24,00;'16/lb todo 24/lb chiq';0,01
'AD1';15;1;6/9/2011;'S';1,10;'stat';408,60
'B52';10;1;6/9/2011;'S';1,42;'stat';317,80
'B30';16;2;6/9/2011;'S';1,24;'stat';363,20
'B30';16;3;6/9/2011;'S';1,33;'stat';340,50
'B56';13;1;7/9/2011;'S';1,10;'stat';408,60
'B24';3;4;11/12/2012;'S';18,00;;
'B52';8;1;1/1/2007;'E';28,00;'CN 23.66lb todo 30.22lb chiq';0,01
'B36';16;1;1/1/2007;'E';28,00;'CN 15.33lb todo 29lb chiq';0,01
'B31';14;2;4/1/2007;'E';20,00;'CN 12.33lb todo 10*4oz chiq';0,02
'B28';7;3;4/1/2007;'S';27,00;'CN 18.33lb todo 27.78lb chiq';0,01
'B38';7;1;4/1/2007;'E';20,00;'CN 15lb todo 24.53lb chiq';0,02
'B39';7;1;4/1/2007;'E';26,00;'CN 23lb todo 29lb chiq';0,01
'B40';7;1;4/1/2007;'E';28,00;'CN 22lb todo 29lb chiq';0,01
'B43';6;1;3/1/2007;'E';24,00;'CN 15.33lb todo 25lb chiq blandito';0,01
'B30';10;1;3/1/2007;'S';26,00;'CN 15.33lb todo 26.18lb chiq';0,01
'B21';8;2;3/1/2007;'S';23,27;'CN 13.33lb todo  23.27lb chiq';0,01
'B22';9;1;3/1/2007;'S';24,66;'CN 19.66lb todo 24.66lb chiq';0,01
'AD3';7;2;9/1/2007;'E';24,00;'CN 14.66lb todo 28.8lb chiq 18*10oz';0,01
'AD1';9;1;9/1/2007;'E';26,00;'CN 13.33lb todo 28.8lb chiq';0,01
'B24';10;2;11/1/2007;'S';28,80;'CN 20.66lb todo 28.8lb chiq';0,01
'B17';21;1;12/1/2007;'S';22,73;'CN 19.33lb todo 22.73lb';0,01
'B29';13;3;12/1/2007;'E';26,00;'CN 18.33lb todo 29.33lb chiq';0,01
'B08';21;1;12/1/2007;'E';24,00;'CN 20lb todo 29.6lb chiq';0,01
'B33';8;1;15/1/2007;'E';22,00;'CN 11.33lb todo 24lb chiq';0,02
'B27';7;2;15/1/2007;'E';22,00;'CN 14.33lb todo 24lb chiq';0,02
'B36';16;1;16/1/2007;'S';23,11;'CN 14.33lb todo 23.11lb chiq';0,01
'B08';21;1;16/1/2007;'E';24,00;'CN 22.33lb todo 26.66lb chiq';0,01
'B21';8;2;17/1/2007;'S';20,00;'CN 14lb todo 20lb chiq';0,02
'B22';9;1;17/1/2007;'E';24,00;'CN 19lb todo 25.90lb chiq';0,01
'B30';10;1;22/1/2007;'S';25,14;'CN 15.33lb todo 25.14lb chiq';0,01
'B31';14;2;22/1/2007;'E';20,00;'CN 11.33lb todo 21.33lb chiq';0,02
'B28';7;3;22/1/2007;'E';26,00;'CN 15.33lb todo 27.42lb chiq';0,01
'B38';7;1;23/1/2007;'E';20,00;'CN 12.66lb todo 28lb 7/4oz';0,02
'B39';7;1;23/1/2007;'E';26,00;'CN 17.33lb todo 28.44lb chiq';0,01
'B40';7;1;23/1/2007;'E';28,00;'CN 16.66lb todo 37.33lb chiq';0,01
'B49';10;1;25/1/2007;'S';25,00;'CN 15lb todo 25.84lb chiq';0,01
'B43';6;1;25/1/2007;'E';24,00;'CN 15.33lb todo 27lb chiq 22/13oz';0,01
'AD1';9;1;25/1/2007;'S';23,11;'CN 14.66lb todo 23.11lb chiq';0,01
'AD3';7;2;25/1/2007;'S';23,00;'CN 12lb todo 14*8oz chiq';0,01
'B29';13;3;26/1/2007;'E';26,00;'CN 19lb todo 27.33lb chiq';0,01
'B29';13;1;26/1/2007;'S';27,33;'CN 19lb todo 27.33lb chiq';0,01
'B08';21;1;26/1/2007;'S';25,00;'CN 17.66lb todo 25.73lb chiq';0,01
'B27';7;2;30/1/2007;'S';24,00;'CN 12.33lb todo 24.88lb chiq';0,01
'B17';21;1;30/1/2007;'S';21,00;'CN 9.33lb todo no chiq';0,02
'B36';16;1;31/1/2007;'E';22,00;'CN 11.33lb todo 24lb chiq';0,02
'B33';8;1;31/1/2007;'E';21,00;'CN 12.66lb todo 24.4lb chiq';0,02
'B42';8;1;31/1/2007;'S';28,52;'CN 21lb todo 28.52lb chiq';0,01
'B39';7;1;31/1/2007;'S';25,60;'CN 15lb todo 25.6lb chiq';0,01
'B38';7;1;31/1/2007;'S';20,00;'CN 11.66lb todo 21.33lb chiq';0,02
'B21';8;2;1/2/2007;'E';20,00;'CN 14lb todo 22.85lb chiq';0,02
'B22';9;1;1/2/2007;'S';23,00;'CN 16.33lb todo 24lb chiq';0,01
'B24';10;2;2/2/2007;'S';27,33;'CN 20.33lb todo 27.33lb chiq';0,01
'B08';21;1;2/2/2007;'S';23,11;'CN 16lb todo 23.11lb chiq';0,01
'AD3';7;2;2/2/2007;'S';24,00;'CN 12.33lb todo 24lb chiq';0,01
'B29';13;3;2/2/2007;'S';24,66;'CN 19.66lb todo 24.66lb chiq';0,01
'B15';27;1;3/2/2007;'S';285,00;'pesc';1,59298245614035e-03
'B43';6;1;5/2/2007;'E';24,00;'CN 14lb todo 25.14lb chiq';0,01
'B40';7;1;5/2/2007;'S';26,24;'CN 20lb todo 26.24lb chiq';0,01
'B39';7;1;6/2/2007;'S';24,00;'CN 14.66lb todo 24lb chiq';0,01
'B49';10;1;7/2/2007;'S';23,11;'CN 13.66lb todo 23.11lb chiq';0,01
'B47';6;1;7/2/2007;'E';23,00;'CN 12.33lb todo 24lb chiq';0,01
'AD1';9;1;8/2/2007;'S';20,00;'CN 13..33lb todo se puede vaciar';0,02
