'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
22/8/2011;0,00;0,00;0,00;0,00;38,50;54,00;160,00;0,00;4,50
25/8/2011;0,00;10,00;7,50;8,50;5,00;0,00;5,00;0,00;1,00
26/8/2011;0,00;10,00;70,00;0,00;45,00;0,00;610,00;0,00;12,00
29/8/2011;0,00;0,00;27,50;12,50;55,00;35,00;35,00;0,00;3,50
2/9/2011;0,00;0,00;0,00;0,00;35,00;0,00;75,00;0,00;1,50
5/9/2011;0,00;0,00;8,00;15,00;114,00;15,00;105,00;0,00;1,50
7/9/2011;0,00;0,00;0,00;0,00;0,00;0,00;110,00;0,00;0,00
2/1/2007;0,00;5,00;19,00;25,00;90,00;0,00;180,00;0,00;7,00
4/1/2007;0,00;10,00;30,00;50,00;79,00;0,00;242,50;0,00;6,00
3/1/2007;0,00;5,00;58,50;100,00;137,50;0,00;430,00;0,00;29,00
5/1/2007;0,00;0,00;10,00;5,00;10,00;0,00;47,00;0,00;0,75
8/1/2007;0,00;14,00;25,00;25,00;50,00;0,00;123,00;0,00;8,00
9/1/2007;0,00;0,00;35,00;45,00;73,00;0,00;149,50;0,00;6,00
10/1/2007;0,00;15,00;45,00;25,00;60,00;0,00;192,50;0,00;27,00
11/1/2007;0,00;0,00;60,00;29,50;50,00;0,00;265,00;0,00;14,00
12/1/2007;0,00;0,00;30,00;50,00;76,00;0,00;0,00;0,00;1,00
15/1/2007;0,00;0,00;54,00;40,00;45,00;0,00;204,00;0,00;9,00
16/1/2007;0,00;5,00;35,00;49,50;45,00;0,00;246,50;0,00;9,00
17/1/2007;0,00;10,00;30,00;35,00;55,00;0,00;167,50;0,00;10,00
18/1/2007;0,00;0,00;25,00;10,00;15,00;0,00;123,00;0,00;6,00
22/1/2007;0,00;24,50;30,00;30,00;55,00;0,00;155,00;0,00;9,00
23/1/2007;0,00;22,50;40,00;40,00;50,00;0,00;246,00;0,00;13,00
24/1/2007;0,00;24,50;20,00;20,00;42,50;0,00;100,00;0,00;11,00
25/1/2007;0,00;5,00;30,00;35,00;50,00;0,00;180,00;0,00;22,00
26/1/2007;0,00;15,00;20,00;20,00;30,00;0,00;131,00;0,00;3,00
30/1/2007;0,00;25,00;34,00;30,00;63,00;0,00;98,50;0,00;6,00
31/1/2007;0,00;25,00;55,00;45,00;60,00;0,00;278,50;0,00;37,00
1/2/2007;0,00;35,00;25,00;35,00;45,00;0,00;233,50;0,00;16,00
2/2/2007;0,00;0,00;24,00;30,00;50,00;0,00;168,50;0,00;4,00
5/2/2007;0,00;0,00;44,50;30,00;40,00;0,00;89,00;0,00;5,00
6/2/2007;0,00;15,00;38,50;45,00;55,00;0,00;177,00;0,00;15,00
7/2/2007;0,00;0,00;53,50;45,00;50,00;0,00;234,50;0,00;23,00
8/2/2007;0,00;0,00;50,00;35,00;32,00;0,00;288,50;0,00;22,00
9/2/2007;0,00;5,00;39,00;30,00;43,50;0,00;315,00;0,00;4,00
12/2/2007;0,00;35,00;60,00;0,00;44,00;0,00;105,00;0,00;8,00
13/2/2007;0,00;15,00;35,00;0,00;55,00;0,00;163,00;0,00;7,00
14/2/2007;0,00;15,00;44,50;0,00;48,00;0,00;145,00;0,00;6,00
15/2/2007;0,00;4,00;10,00;9,00;13,00;0,00;210,00;0,00;6,00
16/2/2007;0,00;15,00;20,00;17,50;45,00;0,00;245,00;0,00;13,00
17/2/2007;0,00;0,00;20,00;8,00;33,00;0,00;5,00;0,00;0,00
20/2/2007;0,00;10,00;20,00;21,50;25,00;0,00;90,00;0,00;8,00
21/2/2007;0,00;20,00;50,00;45,00;62,50;0,00;550,00;0,00;0,00
22/2/2007;0,00;29,00;20,00;10,00;20,00;0,00;102,50;0,00;3,00
23/2/2007;0,00;25,00;40,00;15,00;15,00;0,00;200,00;0,00;8,00
26/2/2007;0,00;65,00;45,00;17,00;40,00;0,00;306,50;0,00;18,00
28/2/2007;0,00;34,50;25,00;20,00;62,50;0,00;220,00;0,00;13,00
2/3/2007;0,00;0,00;28,00;15,00;45,00;0,00;50,00;0,00;2,00
1/3/2007;0,00;11,00;10,00;15,00;30,00;0,00;115,00;0,00;8,00
5/3/2007;0,00;15,00;26,00;15,00;55,00;0,00;280,00;0,00;13,00
6/3/2007;0,00;15,00;15,00;20,00;35,00;0,00;195,00;0,00;11,00
7/3/2007;0,00;11,50;20,00;18,50;60,00;0,00;152,00;0,00;8,00
8/3/2007;0,00;5,00;11,00;10,00;40,00;0,00;20,00;0,00;4,00
12/3/2007;0,00;30,00;25,00;25,00;40,00;0,00;139,50;0,00;3,00
13/3/2007;0,00;10,00;20,00;20,00;35,00;0,00;87,50;0,00;4,00
14/3/2007;0,00;15,00;20,00;25,00;38,50;0,00;235,00;0,00;16,00
15/3/2007;0,00;22,00;40,00;37,00;67,50;0,00;245,00;0,00;18,00
17/3/2007;0,00;2,00;0,00;4,00;13,50;0,00;0,00;0,00;4,00
19/3/2007;0,00;0,00;18,50;20,00;35,00;0,00;171,00;0,00;22,00
20/3/2007;0,00;12,00;10,00;12,00;25,00;0,00;60,00;0,00;5,00
21/3/2007;0,00;24,50;19,00;20,00;30,00;0,00;140,00;0,00;8,00
22/3/2007;0,00;10,00;15,00;20,00;45,00;0,00;97,50;0,00;6,00
23/3/2007;0,00;5,00;9,00;5,00;10,00;0,00;60,00;0,00;0,00
26/3/2007;0,00;20,00;40,00;30,00;50,00;0,00;272,00;0,00;11,00
27/3/2007;0,00;20,00;20,00;20,00;32,00;0,00;70,00;0,00;3,00
28/3/2007;0,00;5,00;15,00;20,00;45,00;0,00;171,00;0,00;6,00
29/3/2007;0,00;0,00;6,50;10,00;27,00;0,00;40,00;0,00;1,00
2/4/2007;0,00;15,00;22,00;25,00;35,00;0,00;120,00;0,00;4,00
3/4/2007;0,00;10,00;10,00;28,00;35,00;0,00;65,00;0,00;3,00
4/4/2007;0,00;0,00;5,00;20,00;25,00;0,00;157,00;0,00;5,00
9/4/2007;0,00;1,50;15,00;25,00;55,00;0,00;183,50;0,00;10,00
