'date';'produit';'�visc�r�';'filet';'entier'
15/8/2011;'carpe';55,00;0,00;0,00
16/8/2011;'carpe';127,00;0,00;0,00
17/8/2011;'carpe';134,00;0,00;0,00
18/8/2011;'carpe';443,00;0,00;0,00
18/8/2011;'tilapia';341,00;0,00;0,00
22/8/2011;'carpe';236,00;0,00;0,00
23/8/2011;'tilapia';267,00;0,00;0,00
23/8/2011;'carpe';141,00;0,00;0,00
24/8/2011;;223,00;0,00;0,00
25/8/2011;;152,00;0,00;0,00
25/8/2011;;291,00;0,00;0,00
25/8/2011;'tilapia';152,00;0,00;0,00
25/8/2011;'carpe';291,00;0,00;0,00
24/8/2011;'carpe';223,00;0,00;0,00
24/8/2011;'tilapia';82,00;0,00;0,00
30/8/2011;'tilapia';343,00;0,00;0,00
30/8/2011;'carpe';552,00;0,00;0,00
31/8/2011;'tilapia';214,00;0,00;0,00
31/8/2011;'carpe';62,00;0,00;0,00
1/9/2011;'tilapia';164,00;0,00;0,00
1/9/2011;'carpe';409,00;0,00;0,00
6/9/2011;'tilapia';235,00;0,00;0,00
6/9/2011;'carpe';499,00;0,00;0,00
7/9/2011;'tilapia';253,00;0,00;0,00
7/9/2011;'carpe';40,00;0,00;0,00
2/1/2007;'carpe';67,00;0,00;0,00
3/1/2007;'carpe';215,00;0,00;0,00
26/1/2007;'carpe';22,00;0,00;0,00
30/1/2007;'carpe';17,00;0,00;0,00
8/2/2007;'carpe';17,00;0,00;0,00
12/2/2007;'carpe';28,00;0,00;0,00
19/2/2007;'carpe';136,00;0,00;0,00
27/3/2007;'carpe';648,00;0,00;0,00
2/4/2007;'carpe';457,00;0,00;0,00
3/4/2007;'carpe';457,00;0,00;0,00
9/4/2007;'carpe';90,00;0,00;0,00
10/4/2007;'carpe';353,00;0,00;0,00
11/4/2007;'carpe';395,00;0,00;0,00
16/4/2007;'carpe';151,00;0,00;0,00
17/4/2007;'carpe';188,00;0,00;0,00
25/4/2007;;0,00;0,00;7,00
25/4/2007;'carpe';0,00;0,00;7,00
24/4/2007;'carpe';92,00;0,00;0,00
23/4/2007;;183,00;0,00;0,00
1/5/2007;;77,00;0,00;0,00
7/5/2007;'carpe';41,00;0,00;0,00
23/4/2007;;183,00;0,00;0,00
1/5/2007;;77,00;0,00;0,00
14/5/2007;;277,00;0,00;0,00
15/5/2007;;170,00;0,00;0,00
15/5/2007;;170,00;0,00;0,00
18/6/2007;'carpe';180,00;0,00;0,00
27/6/2007;'carpe';531,00;0,00;0,00
25/6/2007;;0,00;0,00;0,00
11/7/2007;'carpe';390,00;0,00;0,00
12/7/2007;'carpe';27,00;0,00;0,00
23/7/2007;;154,00;0,00;0,00
6/8/2007;'carpe';13,00;0,00;0,00
27/8/2007;'carpe';300,00;0,00;0,00
23/10/2007;'carpe';560,00;0,00;0,00
13/9/2007;'carpe';145,00;0,00;0,00
31/10/2007;'carpe';56,00;0,00;0,00
6/11/2007;'carpe';180,00;0,00;0,00
12/11/2007;'carpe';18,00;0,00;0,00
13/11/2007;'carpe';17,00;0,00;0,00
14/11/2007;'carpe';247,00;0,00;0,00
21/11/2007;'carpe';472,00;0,00;0,00
28/11/2007;'carpe';285,00;0,00;0,00
5/12/2007;'carpe';407,00;0,00;0,00
13/12/2007;'carpe';1009,00;0,00;0,00
19/12/2007;'carpe';226,00;0,00;0,00
27/12/2007;'carpe';155,00;0,00;0,00
28/12/2007;'carpe';323,00;0,00;0,00
4/1/2008;'carpe';22,00;0,00;0,00
11/1/2008;'carpe';56,00;0,00;0,00
15/1/2008;'carpe';649,00;0,00;0,00
14/1/2008;'carpe';112,00;0,00;0,00
14/1/2008;'carpe';122,00;0,00;0,00
23/1/2008;'carpe';353,00;0,00;0,00
28/1/2008;'carpe';209,00;0,00;0,00
29/1/2008;'carpe';230,00;0,00;0,00
6/2/2008;'carpe';81,00;0,00;0,00
11/2/2008;'carpe';167,00;0,00;0,00
12/2/2008;'carpe';355,00;0,00;0,00
18/2/2008;;28,00;0,00;0,00
18/2/2008;'carpe';36,00;0,00;0,00
19/2/2008;'carpe';133,00;0,00;0,00
25/2/2008;'carpe';231,00;0,00;0,00
3/3/2008;'carpe';70,00;0,00;0,00
4/3/2008;'carpe';254,00;0,00;0,00
17/3/2008;'carpe';78,00;0,00;0,00
18/3/2008;'carpe';81,00;0,00;0,00
19/3/2008;'carpe';32,00;0,00;0,00
24/3/2008;'carpe';157,00;0,00;0,00
27/3/2008;'carpe';20,00;0,00;0,00
7/4/2008;'carpe';238,00;0,00;0,00
10/4/2008;'carpe';68,00;0,00;0,00
14/4/2008;'carpe';142,00;0,00;0,00
21/4/2008;'carpe';34,00;0,00;0,00
28/4/2008;'carpe';66,00;0,00;0,00
29/4/2008;'carpe';84,00;0,00;0,00
6/5/2008;'carpe';38,00;0,00;0,00
7/5/2008;'carpe';95,00;0,00;0,00
12/5/2008;'carpe';178,00;0,00;0,00
13/5/2008;'carpe';75,00;0,00;0,00
9/6/2008;'carpe';74,00;0,00;0,00
10/6/2008;'tilapia';0,00;0,00;0,00
10/6/2008;'carpe';371,00;0,00;0,00
16/6/2008;'carpe';141,00;0,00;0,00
18/6/2008;'carpe';149,00;0,00;0,00
23/6/2008;'carpe';23,00;0,00;0,00
30/6/2008;'carpe';66,00;0,00;0,00
2/7/2008;'carpe';413,00;0,00;0,00
8/7/2008;'carpe';29,00;0,00;0,00
9/7/2008;'carpe';204,00;0,00;0,00
16/7/2008;'carpe';152,00;0,00;0,00
21/7/2008;'carpe';52,00;0,00;0,00
23/7/2008;'carpe';151,00;0,00;0,00
28/7/2008;'carpe';19,00;0,00;0,00
30/7/2008;'carpe';112,00;0,00;0,00
11/8/2008;'carpe';45,00;0,00;0,00
13/8/2008;'carpe';408,00;0,00;0,00
19/8/2008;'carpe';287,00;0,00;0,00
25/8/2008;'carpe';99,00;0,00;0,00
26/8/2008;'carpe';474,00;0,00;0,00
1/9/2008;'carpe';13,00;0,00;0,00
2/9/2008;'carpe';23,00;0,00;0,00
9/9/2008;'carpe';65,31;0,00;0,00
23/9/2008;'carpe';118,00;0,00;0,00
29/9/2008;'carpe';25,00;0,00;0,00
30/9/2008;'carpe';187,00;0,00;0,00
25/9/2008;'carpe';32,00;0,00;0,00
6/10/2008;'carpe';433,75;0,00;0,00
7/10/2008;'carpe';155,00;0,00;0,00
13/10/2008;'carpe';403,00;0,00;0,00
14/10/2008;'carpe';63,90;0,00;0,00
20/10/2008;'carpe';507,75;0,00;0,00
21/10/2008;'carpe';146,00;0,00;0,00
22/10/2008;'carpe';26,62;0,00;0,00
27/10/2008;'carpe';379,75;0,00;0,00
28/10/2008;'carpe';240,00;0,00;0,00
3/11/2008;'carpe';540,00;0,00;0,00
4/11/2008;'carpe';271,00;0,00;0,00
10/11/2008;'carpe';715,80;0,00;0,00
11/11/2008;'carpe';308,00;0,00;0,00
17/11/2008;'carpe';293,00;0,00;0,00
18/11/2008;'carpe';211,10;0,00;0,00
24/11/2008;'carpe';286,20;0,00;0,00
25/11/2008;'carpe';349,90;0,00;0,00
1/12/2008;'carpe';484,50;0,00;0,00
2/12/2008;'carpe';257,25;0,00;0,00
8/12/2008;'carpe';594,80;0,00;0,00
9/12/2008;'carpe';436,00;0,00;0,00
15/12/2008;'carpe';583,62;0,00;0,00
16/12/2008;'carpe';314,20;0,00;0,00
17/12/2008;'carpe';122,00;0,00;0,00
22/12/2008;'carpe';1185,00;0,00;0,00
26/12/2008;'carpe';545,00;0,00;0,00
29/12/2008;'carpe';704,50;0,00;0,00
30/12/2008;'carpe';362,20;0,00;0,00
6/1/2009;'carpe';521,80;0,00;0,00
7/1/2009;'carpe';538,00;0,00;0,00
12/1/2009;'carpe';598,00;0,00;0,00
13/1/2009;'carpe';838,00;0,00;0,00
19/1/2009;'carpe';614,50;0,00;0,00
20/1/2009;'carpe';265,00;0,00;0,00
27/1/2009;'carpe';648,00;0,00;0,00
2/2/2009;'carpe';698,75;0,00;0,00
3/2/2009;'carpe';844,00;0,00;0,00
9/2/2009;'carpe';372,50;0,00;0,00
10/2/2009;'carpe';405,00;0,00;0,00
16/2/2009;'carpe';163,00;0,00;0,00
17/2/2009;'carpe';317,00;0,00;0,00
23/2/2009;'carpe';416,00;0,00;0,00
24/2/2009;'carpe';96,00;0,00;0,00
24/2/2009;'tilapia';95,00;0,00;0,00
2/3/2009;'carpe';301,00;0,00;0,00
3/3/2009;'carpe';45,00;0,00;0,00
3/3/2009;'tilapia';99,00;0,00;0,00
9/3/2009;'carpe';140,00;0,00;0,00
9/3/2009;'tilapia';5,00;0,00;0,00
10/3/2009;'carpe';207,00;0,00;0,00
16/3/2009;'carpe';367,00;0,00;0,00
17/3/2009;'carpe';133,00;0,00;0,00
17/3/2009;'tilapia';210,00;0,00;0,00
23/3/2009;'carpe';268,00;0,00;0,00
24/3/2009;'carpe';266,00;0,00;0,00
24/3/2009;'tilapia';89,00;0,00;0,00
30/3/2009;'carpe';289,00;0,00;0,00
31/3/2009;'carpe';247,00;0,00;0,00
31/3/2009;'tilapia';143,00;0,00;0,00
6/4/2009;'carpe';700,00;0,00;0,00
7/4/2009;'carpe';381,00;0,00;0,00
7/4/2009;'tilapia';110,00;0,00;0,00
9/4/2009;'carpe';83,00;0,00;0,00
13/4/2009;'carpe';235,00;0,00;0,00
14/4/2009;'carpe';205,00;0,00;0,00
14/4/2009;'tilapia';132,00;0,00;0,00
20/4/2009;'carpe';538,00;0,00;0,00
21/4/2009;'carpe';226,00;0,00;0,00
21/4/2009;'tilapia';82,00;0,00;0,00
27/4/2009;'tilapia';21,00;0,00;0,00
27/4/2009;'carpe';220,00;0,00;0,00
28/4/2009;'carpe';220,00;0,00;0,00
28/4/2009;'tilapia';103,00;0,00;0,00
5/5/2009;'carpe';371,00;0,00;0,00
6/5/2009;'carpe';282,00;0,00;0,00
6/5/2009;'tilapia';56,00;0,00;0,00
11/5/2009;'carpe';52,00;0,00;0,00
11/5/2009;'tilapia';78,00;0,00;0,00
12/5/2009;'carpe';248,00;0,00;0,00
18/5/2009;'carpe';260,00;0,00;0,00
18/5/2009;'tilapia';5,00;0,00;0,00
19/5/2009;'carpe';154,00;0,00;0,00
19/5/2009;'tilapia';48,00;0,00;0,00
25/5/2009;'carpe';395,00;0,00;0,00
26/5/2009;'carpe';282,00;0,00;0,00
8/6/2009;'carpe';315,00;0,00;0,00
9/6/2009;'carpe';210,00;0,00;0,00
9/6/2009;'tilapia';112,00;0,00;0,00
15/6/2009;;92,00;0,00;0,00
15/6/2009;'tilapia';92,00;0,00;0,00
15/6/2009;'carpe';174,00;0,00;0,00
16/6/2009;'carpe';248,00;0,00;0,00
16/6/2009;'tilapia';341,00;0,00;0,00
22/6/2009;'carpe';228,00;0,00;0,00
22/6/2009;'tilapia';469,00;0,00;0,00
23/6/2009;'carpe';241,00;0,00;0,00
24/6/2009;'carpe';116,00;0,00;0,00
29/6/2009;'carpe';619,20;0,00;0,00
30/6/2009;'carpe';362,00;0,00;0,00
6/7/2009;'carpe';325,00;0,00;0,00
7/7/2009;'carpe';360,00;0,00;0,00
13/7/2009;'carpe';290,00;0,00;0,00
14/7/2009;;266,00;0,00;0,00
20/7/2009;;402,50;0,00;0,00
20/7/2009;'carpe';402,50;0,00;0,00
21/7/2009;'carpe';639,00;0,00;0,00
22/7/2009;'carpe';57,00;0,00;0,00
23/7/2009;'carpe';143,00;0,00;0,00
27/7/2009;'carpe';416,70;0,00;0,00
28/7/2009;'carpe';286,00;0,00;0,00
3/8/2009;'carpe';259,00;0,00;0,00
4/8/2009;'carpe';362,50;0,00;0,00
5/8/2009;'carpe';165,00;0,00;0,00
6/8/2009;'carpe';174,50;0,00;0,00
10/8/2009;'carpe';286,00;0,00;0,00
11/8/2009;'carpe';266,00;0,00;0,00
12/8/2009;'carpe';134,00;0,00;0,00
17/8/2009;;202,50;0,00;0,00
18/8/2009;'carpe';270,50;0,00;0,00
19/8/2009;'carpe';49,00;0,00;0,00
24/8/2009;'carpe';259,50;0,00;0,00
25/8/2009;'carpe';254,00;0,00;0,00
